id_gouvernorat;zone_geographique;pays;libelle;latitude;longitude;code_iso
1;1;1;Tunis;36,8374946;10,1927389;TN-11
2;1;1;Ariana;36,9922751;10,1255164;TN-12
3;1;1;Ben Arous;36,6435606;10,2151578;TN-13
4;1;1;Manouba;36,8446504;9,8571416;TN-14
5;1;1;Nabeul;36,7278251;10,7097867;TN-21
6;1;1;Zaghouan;36,2771237;9,9912254;TN-22
7;1;1;Bizerte;37,1609397;9,634135;TN-23
8;2;1;Beja;36,8625526;9,1013498;TN-31
9;2;1;Jendouba;36,7181862;8,7481167;TN-32
10;2;1;Kef;36,1230512;8,6600586;TN-33
11;2;1;Siliana;36,081944;9,374722;TN-34
12;3;1;Sousse;35,825603;10,608395;TN-51
13;3;1;Monastir;35,6505779;10,7548851;TN-52
14;3;1;Mahdia;35,3352558;10,8903099;TN-53
15;5;1;Sfax;34,8606581;10,3497895;TN-61
16;4;1;Kairouan;35,6759137;10,0919243;TN-41
17;4;1;Kasserine;35,166667;8,833333;TN-42
18;4;1;Sidi Bouzid;35,033333;9,5;TN-43
19;5;1;Gabes;33,9459648;9,7232673;TN-81
20;5;1;Medenine;33,2280565;10,8903099;TN-82
21;5;1;Tataouine;32,1344122;10,0807298;TN-83
22;6;1;Gafsa;34,3788505;8,6600586;TN-71
23;6;1;Tozeur;33,9789491;8,0465185;TN-72
24;6;1;Kebili;33,1245286;8,8362755;TN-73
